CodeRNCP;code;Libelle;;;
RNCP10207;230p;Coordination de chantiers tous corps d état;;;
RNCP10208;122;Economie;;;
RNCP10208;313m;Finances, banques, assurances (non indiquée ou autre);;;
RNCP10209;128;Droit, sciences politiques;;;
RNCP10212;128;Droit, sciences politiques;;;
RNCP10214;128;Droit, sciences politiques;;;
RNCP10216;136g;"Langues étrangères appliquées au tourisme, au commerce international, aux affaires, à la documentation ; Interprétariat et traduction";;;
RNCP10220;310;Spécialités plurivalentes des échanges et de la gestion;;;
RNCP10220;312;Commerce, vente;;;
RNCP10220;314;Comptabilite, gestion;;;
RNCP10225;126;Histoire;;;
RNCP10229;313w;Vente de produits financiers;;;
RNCP10230;220;Spécialités pluritechnologiques des transformations;;;
RNCP10233;201;Technologies de commandes des transformations industrielles;;;
RNCP10233;200r;Contrôle qualité de produits et procédés industriels;;;
RNCP10233;115;Physique;;;
RNCP10234;230;Spécialités pluritechnologiques génie civil, construction, bois;;;
RNCP10236;330s;Spécialités plurivalentes des services aux personnes (production);;;
RNCP10238;344t;Surveillance, lutte contre la fraude, protection et sauvegarde des biens et des personnes;;;
RNCP10240;312;Commerce, vente;;;
RNCP10241;344;Sécurite des biens et des personnes, police, surveillance;;;
RNCP10242;312;Commerce, vente;;;
RNCP10243;118;Sciences de la vie;;;
RNCP10243;331r;Prévention, contrôle sanitaire, diététique;;;
RNCP10244;118b;"Modèles d'analyse biologique ; Informatique en biologie";;;
RNCP10244;118g;"Biologie de l'eau et de l'environnement ; Biologie médicale";;;
RNCP10245;312;Commerce, vente;;;
RNCP10246;312;Commerce, vente;;;
RNCP10247;201m;Technologies de commandes des transformations industrielles;;;
RNCP10248;311;Transports, manutention, magasinage;;;
RNCP10249;320v;Spécialités plurivalentes de la communication : production à caractère artistique;;;
RNCP10250;344t;Surveillance, lutte contre la fraude, protection et sauvegarde des biens et des personnes;;;
RNCP10251;332p;Direction de centres et de services sociaux;;;
RNCP10252;132;Arts plastiques;;;
RNCP10252;134f;Art et design;;;
RNCP10253;201;Technologies de commandes des transformations industrielles;;;
RNCP10254;314;Comptabilite, gestion;;;
RNCP10254;315;Ressources humaines, gestion du personnel, gestion de l'emploi;;;
RNCP10255;201;Technologies de commandes des transformations industrielles;;;
RNCP10256;312;Commerce, vente;;;
RNCP10256;136g;"Langues étrangères appliquées au tourisme, au commerce international, aux affaires, à la documentation ; Interprétariat et traduction";;;
RNCP10257;341;Aménagement du territoire, urbanisme;;;
RNCP10258;128g;"Droit fiscal ; Droit des affaires ; Droit pénal ; Droit de l'environnement ; Droit de la santé ; Droit de la sécurité et de la défense ; Droit du transport etc";;;
RNCP10259;334;Accueil, hotellerie, tourisme;;;
RNCP10259;312;Commerce, vente;;;
RNCP10259;315;Ressources humaines, gestion du personnel, gestion de l'emploi;;;
RNCP10260;320;Spécialites plurivalentes de la communication et de l'information;;;
RNCP10261;341;Aménagement du territoire, urbanisme;;;
RNCP10262;341;Aménagement du territoire, urbanisme;;;
RNCP10263;311p;Gestion des flux et des stocks de marchandises;;;
RNCP10263;136g;"Langues étrangères appliquées au tourisme, au commerce international, aux affaires, à la documentation ; Interprétariat et traduction";;;
RNCP10263;311n;Etudes et projets d organisation de transit de biens ou de personnes;;;
RNCP10264;251n;Etudes, projets, dessin en construction mécanique;;;
RNCP10265;201;Technologies de commandes des transformations industrielles;;;
RNCP10266;344;Sécurite des biens et des personnes, police, surveillance;;;
RNCP10267;331;Santé;;;
RNCP1027;314;Comptabilite, gestion;;;
RNCP10270;331;Santé;;;
RNCP10271;230;Spécialités pluritechnologiques génie civil, construction, bois;;;
RNCP10272;230;Spécialités pluritechnologiques génie civil, construction, bois;;;
RNCP10272;232;Bâtiment : construction et couverture;;;
RNCP10272;233;Bâtiment : finitions;;;
RNCP10273;230;Spécialités pluritechnologiques génie civil, construction, bois;;;
RNCP10273;231;Mines et carrières, génie civil, topographie;;;
RNCP10273;234;Travail du bois et de l'ameublement;;;
RNCP10274;255;Electricite, électronique;;;
RNCP10275;332t;Aide, conseil, orientation, soutien socio-éducatif;;;
RNCP10275;335t;Animation touristique et culturelle;;;
RNCP10276;201;Technologies de commandes des transformations industrielles;;;
RNCP10278;133;Musique, arts du spectacle;;;
RNCP1028;324;Secrétariat, bureautique;;;
RNCP10280;120;Spécialités pluridisciplinaires, sciences humaines et droit;;;
RNCP10282;212;Productions animales, élevage spécialisé, aquaculture, soins aux animaux (y.c. vétérinaire);;;
RNCP10283;331;Santé;;;
RNCP10283;222r;analyse chimique, contrôle de laboratoire des industries chimiques, contrôle industriel des médicaments;;;
RNCP10283;113c;Sciences naturelles (biologie, géologie) - Applications scientifiques;;;
RNCP1029;250;Spécialites pluritechnologiques mécanique-electricite;;;
RNCP10290;123;Sciences sociales (y.c. démographie, anthropologie);;;
RNCP10290;331;Santé;;;
RNCP10291;110;Spécialités pluri-scientifiques;;;
RNCP10291;221;Agro-alimentaire, alimentation, cuisine;;;
RNCP10291;222;Transformations chimiques et apparentées (y.c. industrie pharmaceutique);;;
RNCP10292;315;Ressources humaines, gestion du personnel, gestion de l'emploi;;;
RNCP10292;344;Sécurite des biens et des personnes, police, surveillance;;;
RNCP10295;118;Sciences de la vie;;;
RNCP10295;331;Santé;;;
RNCP10296;200p;Méthodes industrielles;;;
RNCP10296;225s;mise en oeuvre des plastiques et des matériaux composites;;;
RNCP10296;254p;"Méthodes et gestion de production en chaudronnerie et métallerie ; Métré en métallerie";;;
RNCP10297;128;Droit, sciences politiques;;;
RNCP10298;200p;Méthodes industrielles;;;
RNCP10298;200r;Contrôle qualité de produits et procédés industriels;;;
RNCP10299;112;Chimie-biologie, biochimie;;;
RNCP10299;118;Sciences de la vie;;;
RNCP10299;331;Santé;;;
RNCP10300;112;Chimie-biologie, biochimie;;;
RNCP10300;221;Agro-alimentaire, alimentation, cuisine;;;
RNCP10300;331;Santé;;;
RNCP10301;344;Sécurite des biens et des personnes, police, surveillance;;;
RNCP10301;221;Agro-alimentaire, alimentation, cuisine;;;
RNCP10301;227;Energie, génie climatique;;;
RNCP10302;112;Chimie-biologie, biochimie;;;
RNCP10302;118;Sciences de la vie;;;
RNCP10302;331;Santé;;;
RNCP10303;336;Coiffure, esthétique et autres spécialites de services aux personnes;;;
RNCP10304;336;Coiffure, esthétique et autres spécialites de services aux personnes;;;
RNCP10305;250;Spécialites pluritechnologiques mécanique-electricite;;;
RNCP10306;225;Plasturgie, matériaux composites;;;
RNCP10307;125;Linguistique;;;
RNCP10308;225;Plasturgie, matériaux composites;;;
RNCP10309;200;Technologies industrielles fondamentales;;;
RNCP10310;201r;Technologie de commandes des transformations industrielles (contrôle, prévention, entretien);;;
RNCP10311;200n;"Conception de produits (sans autre indication); design industriel";;;
RNCP10311;201n;Conception en automatismes et robotique industriels, en informatique industrielle;;;
RNCP10311;220n;Spécialités pluritechnologiques des transformations;;;
RNCP10312;117g;"Géologie de l'environnement ; Météorologie";;;
RNCP10312;231;Mines et carrières, génie civil, topographie;;;
RNCP10312;343;Nettoyage, assainissement, protection de l'environnement;;;
RNCP10313;343;Nettoyage, assainissement, protection de l'environnement;;;
RNCP10314;200n;"Conception de produits (sans autre indication); design industriel";;;
RNCP10314;200p;Méthodes industrielles;;;
RNCP10314;200r;Contrôle qualité de produits et procédés industriels;;;
RNCP10315;326;Informatique, traitement de l'information, réseaux de transmission;;;
RNCP10316;323;Techniques de l'image et du son, métiers connexes du spectacle;;;
RNCP10317;230;Spécialités pluritechnologiques génie civil, construction, bois;;;
RNCP10317;231;Mines et carrières, génie civil, topographie;;;
